Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Total_Interactions,Verified_Engagement_Rate,Posting_Hour,Day,Peak_Time,Platform_Label,Content_Type_Label,Sentiment_Label,Influencer_Tier_Label,Day_of_Week_Label,Cluster,Cluster_Label,High_Engagement
POST_00426,2024-01-03 09:46:00,0,16,Sports,5540,375,632,73879,402,487579,1.34,9,6,15,353,1,0,True,False,6949,8.861787517427144,9,Wednesday,Morning,Facebook,Video,Neutral,Macro,Wednesday,0,High Engagement,0
POST_00363,2024-01-03 13:28:00,0,8,Technology,1048,256,457,75334,393,29036,6.06,13,6,29,1717,0,1,True,False,2154,2.337589932832453,13,Wednesday,Afternoon,Facebook,Post,Negative,Micro,Wednesday,0,High Engagement,0
POST_01038,2024-01-04 00:19:00,2,8,Technology,1708,113,456,26761,259,402762,0.57,0,4,19,764,2,0,True,True,2536,8.508650648331527,0,Thursday,Night,LinkedIn,Post,Positive,Macro,Thursday,0,High Engagement,0
POST_04592,2024-01-04 05:36:00,1,13,Technology,6145,224,238,45738,517,245871,2.69,5,4,15,1954,2,0,True,False,7124,14.445318990773536,5,Thursday,Morning,Instagram,Story,Positive,Macro,Thursday,0,High Engagement,0
POST_00159,2024-01-04 10:49:00,1,13,Fitness,4399,125,33,21640,787,430456,1.06,10,4,26,1064,1,0,True,False,5344,21.05822550831793,10,Thursday,Morning,Instagram,Story,Neutral,Macro,Thursday,0,High Engagement,0
POST_02919,2024-01-04 12:44:00,4,14,Fitness,2837,260,1505,47775,332,120825,3.81,12,4,21,880,1,0,True,True,4934,9.63265306122449,12,Thursday,Afternoon,Twitter,Thread,Neutral,Macro,Thursday,0,High Engagement,0
POST_02915,2024-01-04 16:45:00,1,9,Food,1974,308,125,21531,662,202126,1.19,16,4,20,175,2,0,True,False,3069,11.179229947517532,16,Thursday,Afternoon,Instagram,Reel,Positive,Macro,Thursday,0,High Engagement,0
POST_04272,2024-01-04 20:52:00,5,5,Travel,19612,881,609,22497,3392,364855,5.78,20,4,15,185,2,0,True,False,24494,93.7991732230964,20,Thursday,Evening,YouTube,Live,Positive,Macro,Thursday,0,High Engagement,1
POST_01023,2024-01-04 23:13:00,5,16,Gaming,6523,343,247,886932,98,488156,1.46,23,4,29,20,1,0,True,False,7211,0.8019780546873942,23,Thursday,Night,YouTube,Video,Neutral,Macro,Thursday,2,Low Engagement,0
POST_02704,2024-01-05 09:59:00,1,9,Food,6327,440,130,935,289,140434,4.91,9,0,8,588,1,0,True,True,7186,737.6470588235295,9,Friday,Morning,Instagram,Reel,Neutral,Macro,Friday,0,High Engagement,1
POST_02032,2024-01-05 10:15:00,0,13,Lifestyle,2672,360,464,2203,659,3383,103.34,10,0,17,484,1,3,True,False,4155,158.692691783931,10,Friday,Morning,Facebook,Story,Neutral,Nano,Friday,0,High Engagement,1
POST_01750,2024-01-05 14:17:00,1,1,Fitness,1687,73,134,41648,732,117460,1.61,14,0,11,1798,2,0,True,False,2626,4.547637341529005,14,Friday,Afternoon,Instagram,Carousel,Positive,Macro,Friday,0,High Engagement,0
POST_03565,2024-01-06 12:07:00,0,5,Business,1784,227,117,77227,192,414100,0.51,12,2,27,524,1,0,True,True,2320,2.755512968262395,12,Saturday,Afternoon,Facebook,Live,Neutral,Macro,Saturday,0,High Engagement,0
POST_03697,2024-01-06 14:21:00,5,11,Lifestyle,9264,590,1840,720597,1210,79923,14.63,14,2,1,566,1,2,True,True,12904,1.6228210775232204,14,Saturday,Afternoon,YouTube,Short,Neutral,Mid-tier,Saturday,2,Low Engagement,0
POST_04392,2024-01-06 17:28:00,0,8,Lifestyle,6896,135,201,65197,354,373777,1.93,17,2,22,1979,2,0,False,True,7586,11.092534932588922,17,Saturday,Evening,Facebook,Post,Positive,Macro,Saturday,0,High Engagement,0
POST_02615,2024-01-06 19:56:00,4,15,Fashion,156,131,1223,75745,121,499327,0.3,19,2,13,622,1,0,True,False,1631,1.993530926133738,19,Saturday,Evening,Twitter,Tweet,Neutral,Macro,Saturday,0,High Engagement,0
POST_04168,2024-01-07 02:55:00,1,9,Lifestyle,8448,490,202,29382,993,331405,2.76,2,3,7,53,2,0,True,True,10133,31.107480770539787,2,Sunday,Night,Instagram,Reel,Positive,Macro,Sunday,0,High Engagement,1
POST_02667,2024-01-07 03:43:00,1,13,Fashion,1242,270,186,833,524,476563,0.36,3,3,12,565,2,0,True,False,2222,203.84153661464586,3,Sunday,Night,Instagram,Story,Positive,Macro,Sunday,0,High Engagement,1
POST_00013,2024-01-07 05:44:00,3,16,Fitness,37311,858,4513,439758,2823,458682,9.31,5,3,22,598,2,0,True,False,45505,9.705792731456848,5,Sunday,Morning,TikTok,Video,Positive,Macro,Sunday,1,Moderate Engagement,0
POST_00600,2024-01-07 05:55:00,1,13,Fashion,5138,49,140,47958,245,364057,1.46,5,3,2,915,2,0,True,False,5572,11.107635848033697,5,Sunday,Morning,Instagram,Story,Positive,Macro,Sunday,0,High Engagement,0
POST_03649,2024-01-07 07:53:00,0,13,Travel,4532,332,707,24121,391,479509,1.16,7,3,8,1244,0,0,True,False,5962,23.096057377389,7,Sunday,Morning,Facebook,Story,Negative,Macro,Sunday,0,High Engagement,0
POST_02620,2024-01-07 07:56:00,4,10,Fitness,4492,244,997,24696,383,135479,4.23,7,3,1,311,0,0,True,True,6116,23.214285714285715,7,Sunday,Morning,Twitter,Retweet,Negative,Macro,Sunday,0,High Engagement,0
POST_03937,2024-01-07 11:00:00,4,10,Fashion,3186,177,1551,27503,16,47435,10.36,11,3,23,818,1,1,True,False,4930,17.867141766352763,11,Sunday,Morning,Twitter,Retweet,Neutral,Micro,Sunday,0,High Engagement,0
POST_00255,2024-01-07 11:19:00,1,1,Health,9902,174,48,760,226,373732,2.71,11,3,21,188,0,0,True,True,10350,1332.1052631578948,11,Sunday,Morning,Instagram,Carousel,Negative,Macro,Sunday,0,High Engagement,1
POST_01458,2024-01-07 13:01:00,2,0,Gaming,615,72,309,18554,208,309232,0.32,13,3,10,905,1,0,True,False,1204,5.36811469224965,13,Sunday,Afternoon,LinkedIn,Article,Neutral,Macro,Sunday,0,High Engagement,0
POST_01115,2024-01-07 13:08:00,0,5,Health,6283,165,569,49857,522,352767,1.99,13,3,10,523,2,0,True,True,7539,14.074252361754619,13,Sunday,Afternoon,Facebook,Live,Positive,Macro,Sunday,0,High Engagement,0
POST_04061,2024-01-08 04:28:00,4,15,Lifestyle,280,240,940,50483,119,484615,0.3,4,1,6,1692,2,0,True,False,1579,2.8920626745637144,4,Monday,Night,Twitter,Tweet,Positive,Macro,Monday,0,High Engagement,0
POST_02972,2024-01-08 05:59:00,1,9,Travel,545,440,95,46180,238,371362,0.29,5,1,6,561,2,0,True,True,1318,2.3386747509744477,5,Monday,Morning,Instagram,Reel,Positive,Macro,Monday,0,High Engagement,0
POST_00620,2024-01-08 06:19:00,2,0,Lifestyle,1635,90,194,14227,248,309567,0.62,6,1,24,863,1,0,True,False,2167,13.488437478034724,6,Monday,Morning,LinkedIn,Article,Neutral,Macro,Monday,0,High Engagement,0
POST_02131,2024-01-08 18:33:00,1,1,Health,6342,62,163,23890,486,44931,14.62,18,1,20,537,2,1,True,False,7053,27.488488907492677,18,Monday,Evening,Instagram,Carousel,Positive,Micro,Monday,0,High Engagement,0
POST_01977,2024-01-08 20:04:00,4,7,Fashion,145,183,223,1947,282,119901,0.46,20,1,8,180,2,0,True,False,833,28.29994863893169,20,Monday,Evening,Twitter,Poll,Positive,Macro,Monday,0,High Engagement,0
POST_04253,2024-01-08 21:37:00,4,7,Health,4073,129,1122,96934,425,26858,19.82,21,1,26,1660,0,1,True,True,5749,5.492396888604618,21,Monday,Night,Twitter,Poll,Negative,Micro,Monday,0,High Engagement,0
POST_02226,2024-01-09 00:43:00,0,5,Entertainment,3270,132,535,10351,754,321725,1.22,0,5,24,358,0,0,True,True,4691,38.034972466428364,0,Tuesday,Night,Facebook,Live,Negative,Macro,Tuesday,0,High Engagement,1
POST_02509,2024-01-09 02:24:00,3,16,Business,33034,309,2036,242685,2609,185278,19.1,2,5,18,478,0,0,False,False,37988,14.578156870016686,2,Tuesday,Night,TikTok,Video,Negative,Macro,Tuesday,1,Moderate Engagement,0
POST_00885,2024-01-09 03:27:00,3,4,Fashion,8731,994,1938,75043,577,371740,3.14,3,5,24,491,1,0,True,False,12240,15.541756059859013,3,Tuesday,Night,TikTok,Duet,Neutral,Macro,Tuesday,1,Moderate Engagement,0
POST_03590,2024-01-09 03:40:00,1,1,Food,7684,20,151,3713,125,47275,16.62,3,5,28,726,0,1,True,False,7980,211.553999461352,3,Tuesday,Night,Instagram,Carousel,Negative,Micro,Tuesday,0,High Engagement,1
POST_01451,2024-01-09 11:12:00,0,13,Entertainment,5232,366,371,10075,558,257653,2.32,11,5,11,1512,2,0,True,False,6527,59.24565756823821,11,Tuesday,Morning,Facebook,Story,Positive,Macro,Tuesday,0,High Engagement,1
POST_04753,2024-01-09 11:48:00,2,8,Health,472,94,425,18259,112,277798,0.36,11,5,18,755,2,0,True,False,1103,5.427460430472643,11,Tuesday,Morning,LinkedIn,Post,Positive,Macro,Tuesday,0,High Engagement,0
POST_03402,2024-01-09 12:59:00,1,13,Technology,8440,165,264,37752,483,477456,1.86,12,5,3,965,0,0,True,False,9352,23.492795083704173,12,Tuesday,Afternoon,Instagram,Story,Negative,Macro,Tuesday,0,High Engagement,0
POST_04525,2024-01-09 13:30:00,3,12,Lifestyle,46571,441,758,302431,1829,10027,476.41,13,5,19,272,2,1,True,False,49599,15.795338440834438,13,Tuesday,Afternoon,TikTok,Stitch,Positive,Micro,Tuesday,1,Moderate Engagement,0
POST_03917,2024-01-09 16:37:00,2,7,Health,794,7,127,14918,32,74896,1.24,16,5,20,1079,1,2,False,True,960,6.2206730124681595,16,Tuesday,Afternoon,LinkedIn,Poll,Neutral,Mid-tier,Tuesday,0,High Engagement,0
POST_00483,2024-01-09 18:55:00,0,16,Sports,4283,106,38,73605,646,497216,0.89,18,5,5,291,2,0,True,True,5073,6.014537055906528,18,Tuesday,Evening,Facebook,Video,Positive,Macro,Tuesday,0,High Engagement,0
POST_02783,2024-01-09 19:32:00,5,2,Education,13734,469,172,726267,4479,272386,5.28,19,5,2,339,2,0,True,False,18854,1.979299623967494,19,Tuesday,Evening,YouTube,Community Post,Positive,Macro,Tuesday,2,Low Engagement,0
POST_00147,2024-01-09 21:52:00,0,16,Gaming,3309,303,203,21871,590,93599,4.08,21,5,8,347,0,2,True,True,4405,17.443189611814734,21,Tuesday,Night,Facebook,Video,Negative,Mid-tier,Tuesday,0,High Engagement,0
POST_01364,2024-01-09 22:21:00,0,5,Business,6830,129,742,57034,78,235288,3.27,22,5,16,42,1,0,True,False,7779,13.50247220955921,22,Tuesday,Night,Facebook,Live,Neutral,Macro,Tuesday,0,High Engagement,0
POST_02243,2024-01-10 05:26:00,0,5,Sports,478,266,811,76686,562,382495,0.41,5,6,22,490,2,0,True,False,2117,2.02774952403307,5,Wednesday,Morning,Facebook,Live,Positive,Macro,Wednesday,0,High Engagement,0
POST_01461,2024-01-10 10:00:00,4,14,Fitness,4449,21,209,57922,448,351032,1.33,10,6,29,303,1,0,True,False,5127,8.078105037809467,10,Wednesday,Morning,Twitter,Thread,Neutral,Macro,Wednesday,0,High Engagement,0
POST_04354,2024-01-10 11:46:00,5,2,Lifestyle,4676,219,376,470105,4140,384995,1.37,11,6,5,1444,1,0,True,False,9411,1.1212388721668565,11,Wednesday,Morning,YouTube,Community Post,Neutral,Macro,Wednesday,2,Low Engagement,0
POST_00471,2024-01-10 14:57:00,1,6,Technology,9883,67,77,43316,382,404723,2.48,14,6,15,695,0,0,False,False,10409,23.148490165296888,14,Wednesday,Afternoon,Instagram,Photo,Negative,Macro,Wednesday,0,High Engagement,0
POST_04025,2024-01-10 15:51:00,2,7,Lifestyle,1895,17,158,15208,205,406984,0.51,15,6,7,866,1,0,False,True,2275,13.611257233035246,15,Wednesday,Afternoon,LinkedIn,Poll,Neutral,Macro,Wednesday,0,High Engagement,0
POST_04594,2024-01-10 16:29:00,4,14,Education,400,4,1034,45335,106,245639,0.59,16,6,15,228,1,0,True,False,1544,3.1719422080070587,16,Wednesday,Afternoon,Twitter,Thread,Neutral,Macro,Wednesday,0,High Engagement,0
POST_03823,2024-01-10 21:11:00,3,12,Entertainment,35475,1898,2937,187442,1847,52432,76.88,21,6,6,87,2,2,True,False,42157,21.505318978670733,21,Wednesday,Night,TikTok,Stitch,Positive,Mid-tier,Wednesday,1,Moderate Engagement,0
POST_04447,2024-01-10 21:32:00,1,6,Food,5088,262,199,14888,660,435000,1.28,21,6,9,1786,1,0,False,False,6209,37.27162815690489,21,Wednesday,Night,Instagram,Photo,Neutral,Macro,Wednesday,0,High Engagement,1
POST_02198,2024-01-10 22:53:00,3,4,Lifestyle,32338,66,969,479514,2703,279271,11.95,22,6,18,447,2,0,True,False,36076,6.9597550853572585,22,Wednesday,Night,TikTok,Duet,Positive,Macro,Wednesday,2,Low Engagement,0
POST_02303,2024-01-11 00:33:00,0,5,Sports,3204,107,380,57955,489,261013,1.41,0,4,13,573,2,0,True,False,4180,6.368734362867742,0,Thursday,Night,Facebook,Live,Positive,Macro,Thursday,0,High Engagement,0
POST_04612,2024-01-11 11:14:00,1,13,Health,2366,255,107,32084,535,892,305.83,11,4,21,1100,1,3,True,True,3263,8.502680463782571,11,Thursday,Morning,Instagram,Story,Neutral,Nano,Thursday,0,High Engagement,0
POST_03896,2024-01-11 14:24:00,3,4,Technology,30187,821,4505,71771,2764,225519,15.75,14,4,5,152,1,0,True,False,38277,49.48098814284321,14,Thursday,Afternoon,TikTok,Duet,Neutral,Macro,Thursday,1,Moderate Engagement,1
POST_02056,2024-01-11 21:15:00,2,0,Sports,170,19,259,25386,143,333768,0.13,21,4,13,931,1,0,True,True,591,1.7647522256361774,21,Thursday,Night,LinkedIn,Article,Neutral,Macro,Thursday,0,High Engagement,0
POST_03661,2024-01-11 22:51:00,0,8,Food,6580,9,900,31319,646,30230,24.77,22,4,24,1861,1,1,True,False,8135,23.912002298923976,22,Thursday,Night,Facebook,Post,Neutral,Micro,Thursday,0,High Engagement,0
POST_00991,2024-01-12 08:41:00,3,16,Health,31852,1590,801,323063,616,86675,39.51,8,0,28,21,2,2,True,False,34859,10.599480596663808,8,Friday,Morning,TikTok,Video,Positive,Mid-tier,Friday,1,Moderate Engagement,0
POST_04724,2024-01-12 12:53:00,4,7,Health,2640,172,1471,29943,329,466337,0.92,12,0,16,1184,1,0,False,False,4612,14.303843970210064,12,Friday,Afternoon,Twitter,Poll,Neutral,Macro,Friday,0,High Engagement,0
POST_02826,2024-01-12 15:29:00,3,4,Gaming,25781,1671,3381,20430,224,452037,6.82,15,0,26,16,1,0,False,True,31057,150.92021536955457,15,Friday,Afternoon,TikTok,Duet,Neutral,Macro,Friday,1,Moderate Engagement,1
POST_02458,2024-01-12 20:49:00,0,8,Gaming,6543,54,632,43676,465,374670,1.93,20,0,24,789,2,0,True,False,7694,16.551424123088196,20,Friday,Evening,Facebook,Post,Positive,Macro,Friday,0,High Engagement,0
POST_04902,2024-01-12 20:49:00,0,5,Business,504,234,46,44411,268,182875,0.43,20,0,5,326,2,0,True,False,1052,1.7653284096282453,20,Friday,Evening,Facebook,Live,Positive,Macro,Friday,0,High Engagement,0
POST_01847,2024-01-12 20:59:00,1,1,Food,4453,438,291,663,248,148198,3.5,20,0,27,1250,1,0,True,False,5430,781.5987933634992,20,Friday,Evening,Instagram,Carousel,Neutral,Macro,Friday,0,High Engagement,1
POST_04101,2024-01-12 21:17:00,0,8,Sports,6260,5,169,6216,458,21174,30.39,21,0,4,1236,2,1,True,False,6892,103.5070785070785,21,Friday,Night,Facebook,Post,Positive,Micro,Friday,0,High Engagement,1
POST_00057,2024-01-12 21:46:00,1,6,Gaming,5741,410,126,10052,350,259233,2.42,21,0,1,1804,2,0,True,True,6627,62.44528452049344,21,Friday,Night,Instagram,Photo,Positive,Macro,Friday,0,High Engagement,1
POST_01124,2024-01-13 00:33:00,3,12,Fitness,38874,81,4338,232603,1319,286335,15.12,0,2,9,467,2,0,True,False,44612,18.612399668104025,0,Saturday,Night,TikTok,Stitch,Positive,Macro,Saturday,1,Moderate Engagement,0
POST_01437,2024-01-13 07:02:00,4,14,Health,2813,177,396,67504,147,475435,0.71,7,2,16,554,2,0,True,False,3533,5.015999051908035,7,Saturday,Morning,Twitter,Thread,Positive,Macro,Saturday,0,High Engagement,0
POST_04128,2024-01-13 12:13:00,5,2,Health,4016,921,1195,677761,1270,471826,1.3,12,2,13,1970,0,0,True,False,7402,0.9047437075901388,12,Saturday,Afternoon,YouTube,Community Post,Negative,Macro,Saturday,2,Low Engagement,0
POST_00343,2024-01-13 18:18:00,1,9,Fitness,1899,280,211,45999,436,351424,0.68,18,2,7,205,1,0,True,False,2826,5.195765125328811,18,Saturday,Evening,Instagram,Reel,Neutral,Macro,Saturday,0,High Engagement,0
POST_04713,2024-01-13 18:53:00,4,15,Fashion,1910,32,362,17951,484,195649,1.18,18,2,24,1569,1,0,True,False,2788,12.834939557684807,18,Saturday,Evening,Twitter,Tweet,Neutral,Macro,Saturday,0,High Engagement,0
POST_04636,2024-01-13 19:06:00,5,2,Technology,9823,417,589,639335,3961,453322,2.39,19,2,22,739,1,0,True,False,14790,1.6937912049238661,19,Saturday,Evening,YouTube,Community Post,Neutral,Macro,Saturday,2,Low Engagement,0
POST_04642,2024-01-14 00:50:00,4,14,Travel,2576,103,975,63465,221,316317,1.16,0,3,4,1229,2,0,True,False,3875,5.757504136138029,0,Sunday,Night,Twitter,Thread,Positive,Macro,Sunday,0,High Engagement,0
POST_03566,2024-01-14 05:41:00,2,7,Sports,1545,120,12,2194,209,70581,2.38,5,3,1,550,2,2,True,False,1886,76.43573381950775,5,Sunday,Morning,LinkedIn,Poll,Positive,Mid-tier,Sunday,0,High Engagement,1
POST_04720,2024-01-14 09:07:00,5,16,Health,7987,542,791,398393,3449,223902,4.16,9,3,10,160,2,0,True,False,12769,2.3393985336087733,9,Sunday,Morning,YouTube,Video,Positive,Macro,Sunday,2,Low Engagement,0
POST_04522,2024-01-14 21:15:00,0,5,Business,1062,134,81,28161,138,328440,0.39,21,3,29,311,2,0,True,True,1415,4.5346401051099035,21,Sunday,Night,Facebook,Live,Positive,Macro,Sunday,0,High Engagement,0
POST_04559,2024-01-14 21:35:00,5,11,Gaming,1100,821,1467,711542,4223,448840,0.75,21,3,12,595,0,0,False,False,7611,0.4761489834753254,21,Sunday,Night,YouTube,Short,Negative,Macro,Sunday,2,Low Engagement,0
POST_02951,2024-01-15 05:40:00,3,12,Business,19793,1018,4074,257816,1086,295403,8.42,5,1,8,20,1,0,True,False,25971,9.652232599993795,5,Monday,Morning,TikTok,Stitch,Neutral,Macro,Monday,1,Moderate Engagement,0
POST_04115,2024-01-15 10:52:00,0,8,Sports,4674,114,267,12139,303,122533,4.13,10,1,7,1408,2,0,True,True,5358,41.6426394266414,10,Monday,Morning,Facebook,Post,Positive,Macro,Monday,0,High Engagement,1
POST_00338,2024-01-15 22:34:00,2,0,Fashion,1574,48,478,23296,7,40387,5.2,22,1,1,1264,1,1,False,False,2107,9.014423076923077,22,Monday,Night,LinkedIn,Article,Neutral,Micro,Monday,0,High Engagement,0
POST_00110,2024-01-16 02:59:00,1,13,Education,150,43,291,2900,309,235868,0.21,2,5,25,1100,2,0,True,False,793,16.689655172413794,2,Tuesday,Night,Instagram,Story,Positive,Macro,Tuesday,0,High Engagement,0
POST_01086,2024-01-16 06:59:00,0,16,Technology,286,219,454,69548,168,128453,0.75,6,5,5,252,1,0,True,False,1127,1.3789037786852245,6,Tuesday,Morning,Facebook,Video,Neutral,Macro,Tuesday,0,High Engagement,0
POST_02563,2024-01-16 08:26:00,1,6,Technology,9875,148,105,34673,464,240935,4.2,8,5,20,170,2,0,True,False,10592,29.21004816427768,8,Tuesday,Morning,Instagram,Photo,Positive,Macro,Tuesday,0,High Engagement,1
POST_02331,2024-01-16 15:13:00,4,10,Technology,2508,106,230,19802,32,60754,4.68,15,5,0,702,0,2,True,True,2876,14.362185637814362,15,Tuesday,Afternoon,Twitter,Retweet,Negative,Mid-tier,Tuesday,0,High Engagement,0
POST_02175,2024-01-16 23:45:00,1,13,Education,1379,34,296,4199,917,209384,0.82,23,5,9,231,2,0,True,False,2626,40.70016670635866,23,Tuesday,Night,Instagram,Story,Positive,Macro,Tuesday,0,High Engagement,1
POST_02110,2024-01-17 06:33:00,5,16,Gaming,4368,808,275,190721,807,8798,61.96,6,6,6,504,2,3,False,False,6258,2.8581016248866145,6,Wednesday,Morning,YouTube,Video,Positive,Nano,Wednesday,0,High Engagement,0
POST_01046,2024-01-17 07:13:00,0,16,Education,647,131,266,5057,494,211133,0.49,7,6,26,492,1,0,False,True,1538,20.644650978841213,7,Wednesday,Morning,Facebook,Video,Neutral,Macro,Wednesday,0,High Engagement,0
POST_01100,2024-01-17 08:35:00,4,7,Sports,3399,215,947,53196,380,498316,0.92,8,6,7,1306,2,0,True,True,4941,8.573952928791638,8,Wednesday,Morning,Twitter,Poll,Positive,Macro,Wednesday,0,High Engagement,0
POST_00758,2024-01-17 11:50:00,0,5,Lifestyle,7091,159,835,35164,583,64065,12.62,11,6,11,595,1,2,False,False,8668,22.99226481628939,11,Wednesday,Morning,Facebook,Live,Neutral,Mid-tier,Wednesday,0,High Engagement,0
POST_04114,2024-01-17 13:01:00,1,9,Health,412,142,210,40620,74,371799,0.21,13,6,21,99,2,0,True,True,838,1.880846873461349,13,Wednesday,Afternoon,Instagram,Reel,Positive,Macro,Wednesday,0,High Engagement,0
POST_02435,2024-01-17 16:08:00,5,5,Health,19639,806,321,725703,2092,216772,9.58,16,6,24,34,1,0,True,True,22858,2.8615011926366574,16,Wednesday,Afternoon,YouTube,Live,Neutral,Macro,Wednesday,2,Low Engagement,0
POST_04614,2024-01-17 17:42:00,1,6,Technology,3668,263,261,3706,470,313065,1.34,17,6,10,211,1,0,True,False,4662,113.1138694009714,17,Wednesday,Evening,Instagram,Photo,Neutral,Macro,Wednesday,0,High Engagement,1
POST_04867,2024-01-17 19:59:00,4,7,Fitness,26,207,1207,94651,187,216637,0.66,19,6,19,183,2,0,False,False,1627,1.5213785379974853,19,Wednesday,Evening,Twitter,Poll,Positive,Macro,Wednesday,0,High Engagement,0
POST_03820,2024-01-17 22:08:00,0,16,Business,5171,250,163,70298,748,230965,2.42,22,6,6,177,0,0,True,False,6332,7.943326979430425,22,Wednesday,Night,Facebook,Video,Negative,Macro,Wednesday,0,High Engagement,0
POST_03576,2024-01-17 22:12:00,4,10,Fitness,3940,142,1944,37624,55,94953,6.35,22,6,7,1786,1,2,True,True,6081,16.016372528173505,22,Wednesday,Night,Twitter,Retweet,Neutral,Mid-tier,Wednesday,0,High Engagement,0
POST_00910,2024-01-18 11:21:00,4,7,Fashion,1613,51,1235,89627,346,417600,0.69,11,4,24,1358,0,0,True,False,3245,3.2345163845716134,11,Thursday,Morning,Twitter,Poll,Negative,Macro,Thursday,0,High Engagement,0
POST_04696,2024-01-18 11:35:00,3,16,Fashion,5391,243,3142,9876,2778,334144,2.63,11,4,8,199,0,0,True,False,11554,88.8618874038072,11,Thursday,Morning,TikTok,Video,Negative,Macro,Thursday,0,High Engagement,1
